sector,DATE COMMITTED,GRANTEE,AMOUNT COMMITTED,percentage
education,1997.0,Grant Public Library,6800.0,0.2
education,1997.0,Helen Keller Public Library,6800.0,0.2
education,1997.0,James C. Poole Jr. Memorial Library (Grenne County),6800.0,0.2
education,1997.0,Marengo County Public Library,6800.0,0.2
education,1997.0,Moody Public Library,6800.0,0.2
education,1997.0,Mose Hudson Tapia Public Library,6800.0,0.2
education,1997.0,Opp Public Library,6800.0,0.2
education,1997.0,Piedmont Public Library,6800.0,0.2
education,1997.0,Rogersville Public Library,6800.0,0.2
education,1997.0,Russellville Public Library,6800.0,0.2
education,1997.0,Uniontown Public Library,6800.0,0.2
education,1997.0,Wetumpka Public Library,6800.0,0.2
education,1997.0,Ina Pullen Smallwood Memorial Library,6785.0,0.2
education,1997.0,Blanche R. Solomon Memorial Library,6736.0,0.2
education,1997.0,Millbrook Public Library,6704.0,0.19
education,1997.0,Daphne Public Library,6700.0,0.19
education,1997.0,Guntersville Public Library,6700.0,0.19
education,1997.0,Sumter County Library System (Ruby Pickens Tartt Public Library),6610.0,0.19
education,1997.0,Hartselle Public Library,6564.0,0.19
education,1997.0,Lawrence County Public Library,6564.0,0.19
education,1997.0,Cherokee County Public Library,6530.0,0.19
education,1997.0,Thomasville Public Library,6450.0,0.19
education,1997.0,Union Springs Public Library,6376.0,0.18
education,1997.0,Parnell Memorial Library,6375.0,0.18
education,1997.0,Chilton-Clanton Public Library,6300.0,0.18
education,1997.0,Earle A. Rainwater Memorial Library,6300.0,0.18
education,1997.0,Foley Public Library,6300.0,0.18
education,1997.0,White Hall Public Library,4830.0,0.14
education,1997.0,Elton B. Stephens Library,4625.0,0.13
education,1997.0,Louisville Public Library,4625.0,0.13
education,1997.0,Odenville Public Library,4175.0,0.12
education,1997.0,Ashville Public Library,4150.0,0.12
education,1997.0,Town and County Public Library,4125.0,0.12
education,1997.0,Collinsville Public Library,4100.0,0.12
education,1997.0,Columbiana Public Library,4070.0,0.12
education,1997.0,Monroe County Public Library,4025.0,0.12
education,1997.0,Steele Public Library,4025.0,0.12
education,1997.0,Bridgeport Public Library,4000.0,0.12
education,1997.0,Emma Knox Kenan Public Library,4000.0,0.12
education,1997.0,Flomaton Public Library,4000.0,0.12
education,1997.0,Geraldine Public Library,4000.0,0.12
education,1997.0,Lexington Public Library,4000.0,0.12
education,1997.0,Mary Berry Brown Memorial Library,4000.0,0.12
education,1997.0,Newton Public Library,4000.0,0.12
education,1997.0,Pell City Public Library,4000.0,0.12
education,1997.0,Ragland Public Library,4000.0,0.12
education,1997.0,Rainsville Public Library,4000.0,0.12
education,1997.0,Stevenson Public Library,4000.0,0.12
education,1997.0,Sulligent Public Library,4000.0,0.12
education,1997.0,Tupper Lightfoot Memorial Library,4000.0,0.12
education,1997.0,Weatherford Public Library,4000.0,0.12
education,1997.0,Calera Public Library,3995.0,0.12
education,1997.0,Annie L. Awbrey Public Library,3975.0,0.12
education,1997.0,West Blocton Public Library,3975.0,0.12
education,1997.0,Ashland City Public Library,3955.0,0.11
education,1997.0,Lincoln Public Library,3955.0,0.11
education,1997.0,Lineville Public Library,3955.0,0.11
education,1997.0,Goodwater Public Library,3950.0,0.11
education,1997.0,MCHS Community Library,3950.0,0.11
education,1997.0,Boaz Public Library,3925.0,0.11
education,1997.0,Dadeville Public Library,3925.0,0.11
education,1997.0,Cherokee Public Library,3900.0,0.11
education,1997.0,Maplesville Public Library,3895.0,0.11
education,1997.0,Jemison Public Library,3890.0,0.11
education,1997.0,Rockford Public Library,3890.0,0.11
education,1997.0,Thorsby Public Library,3890.0,0.11
education,1997.0,Citronelle Memorial Library,3885.0,0.11
education,1997.0,Clyde Nix Public Library,3885.0,0.11
education,1997.0,Mary Wallace Cobb Memorial Library,3885.0,0.11
education,1997.0,Courtland Public Library,3881.0,0.11
education,1997.0,Eva Public Library,3881.0,0.11
education,1997.0,Falkville Public Library,3881.0,0.11
education,1997.0,Carrollton Public Library,3875.0,0.11
education,1997.0,Crossville Public Library,3875.0,0.11
education,1997.0,Gordo Public Library,3875.0,0.11
education,1997.0,Lallouise F. McGraw Library,3875.0,0.11
education,1997.0,Reform Public Library,3875.0,0.11
education,1997.0,Wilsonville Public Library,3875.0,0.11
education,1997.0,Brantley Public Library,3870.0,0.11
education,1997.0,Aliceville Public Library,3865.0,0.11
education,1997.0,Hale County-Greensboro Library,3850.0,0.11
education,1997.0,Hightower Memorial Public Library,3850.0,0.11
education,1997.0,Kennedy Public Library,3850.0,0.11
education,1997.0,Winfield Public Library,3850.0,0.11
education,1997.0,Woodville Public Library,3850.0,0.11
education,1997.0,Loxley Public Library,3805.0,0.11
education,1997.0,Grove Hill Public Library,3765.0,0.11
education,1997.0,Ider Public Library,3764.0,0.11
education,1997.0,Millport Public Library,3760.0,0.11
education,1997.0,Florala Public Library,3725.0,0.11
education,1997.0,Springville Public Library,3725.0,0.11
education,1997.0,Rainbow City Public Library,1800.0,0.05
education,1997.0,Oscar Johnson Memorial Library,80.0,0.0
health,1998.0,PATH,126964000.0,87.8
education,1998.0,Planned Parenthood Federation of America,2600000.0,17.86
health,1998.0,"Save the Children Federation, Inc.",1800000.0,1.24
equality,1998.0,International Planned Parenthood Federation,1730000.0,97.19
health,1998.0,United Nations Population Fund,1700000.0,1.18
health,1998.0,Centre for Development and Population Activities,1688000.0,1.17
health,1998.0,CARE,1500000.0,1.04
health,1998.0,CONRAD/Eastern Virginia Medical School,1500000.0,1.04
health,1998.0,International AIDS Vaccine Initiative Inc,1500000.0,1.04
health,1998.0,"Population Council, Inc.",1500000.0,1.04
health,1998.0,International Planned Parenthood Federation,1492400.0,1.03
health,1998.0,Columbia University,1360000.0,0.94
education,1998.0,"EngenderHealth, Inc.",1315259.0,9.04
health,1998.0,"The Task Force for Global Health, Inc.",1000000.0,0.69
health,1998.0,"EngenderHealth, Inc.",916250.0,0.63
education,1998.0,New York Public Library,640000.0,4.4
growth,1998.0,Centre for Development and Population Activities,606984.0,68.03
education,1998.0,Deutsche Stiftung Weltbevoelkerung,545000.0,3.74
education,1998.0,Buffalo & Erie County Public Library,425000.0,2.92
health,1998.0,Family Care International,400000.0,0.28
others,1998.0,ORBIS International,400000.0,40.0
health,1998.0,Deutsche Stiftung Weltbevoelkerung,362000.0,0.25
education,1998.0,Harvard University,350000.0,2.4
education,1998.0,Houston Public Library,312000.0,2.14
others,1998.0,National Council for International Health,300000.0,30.0
others,1998.0,United Way International,300000.0,30.0
health,1998.0,Future Generations,288000.0,0.2
growth,1998.0,Population Resource Center,285300.0,31.97
education,1998.0,Tampa-Hillsborough County Public Library,279349.0,1.92
education,1998.0,Shreve Memorial Library,272458.0,1.87
health,1998.0,World Health Organization,250000.0,0.17
education,1998.0,Enoch Pratt Central,240000.0,1.65
education,1998.0,Jefferson Parish Library,228819.0,1.57
education,1998.0,Fresno County Public Library,222000.0,1.53
education,1998.0,New Orleans Public Library,217821.0,1.5
education,1998.0,East Baton Rouge Parish Library,205571.0,1.41
education,1998.0,Nashville Public Library System,180257.0,1.24
education,1998.0,Saint Louis Public Library-Central,175000.0,1.2
education,1998.0,Carnegie Library Of Pittsburgh,169000.0,1.16
education,1998.0,Milwaukee Public Library,167953.0,1.15
education,1998.0,Calcasieu Parish Public Library,166166.0,1.14
education,1998.0,San Antonio Public Library,165250.0,1.14
education,1998.0,St. Tammany Parish Library,161612.0,1.11
education,1998.0,Dallas Public Library,160143.0,1.1
education,1998.0,Detroit Public Library,160000.0,1.1
education,1998.0,Yakima Valley Regional Library,158238.0,1.09
health,1998.0,Society for Women's Health Research,150000.0,0.1
education,1998.0,Rapides Parish Library,149431.0,1.03
education,1998.0,Memphis-Shelby County Public Library,140210.0,0.96
education,1998.0,Norfolk Public Library,127000.0,0.87
health,1998.0,"Guttmacher Institute, Inc.",125000.0,0.09
education,1998.0,Hartford Public Library,122200.0,0.84
education,1998.0,Lafayette Public Library,121328.0,0.83
health,1998.0,Planned Parenthood Federation of America,115000.0,0.08
education,1998.0,Ouachita Parish Public Library,109115.0,0.75
education,1998.0,El Paso Public Library,106316.0,0.73
education,1998.0,Tangiphoa Parish Library,105357.0,0.72
education,1998.0,Terrebonne Parish Library,103825.0,0.71
education,1998.0,Lafourche Parish Library,103596.0,0.71
education,1998.0,Iberville Parish Library,102434.0,0.7
education,1998.0,Broward County Division of Libraries,100000.0,0.69
education,1998.0,St. Mary Parish Library,97873.0,0.67
education,1998.0,District of Columbia Public Library,94292.0,0.65
education,1998.0,Iberia Parish Library,94027.0,0.65
education,1998.0,Acadia Parish Library,92619.0,0.64
education,1998.0,Livingston Parish Library,91426.0,0.63
education,1998.0,Louisiana State University,85724.0,0.59
education,1998.0,Webster Parish Library,84187.0,0.58
education,1998.0,Ascension Parish Library,81706.0,0.56
education,1998.0,Beauregard Parish Library,80353.0,0.55
education,1998.0,Washington Parish Library,75652.0,0.52
education,1998.0,Facing the Future,75000.0,0.52
education,1998.0,Fort Worth Public Library,75000.0,0.52
education,1998.0,Avoyelles Parish Library,74792.0,0.51
education,1998.0,Vermilion Parish Library,74759.0,0.51
education,1998.0,Sabine Parish Library,72011.0,0.49
education,1998.0,Bossier Parish Library,70974.0,0.49
education,1998.0,Pointe Coupee Parish Library,68674.0,0.47
education,1998.0,Grant Parish Library,66698.0,0.46
education,1998.0,Free Library Of Philadelphia,61000.0,0.42
education,1998.0,Evangeline Parish Library,60723.0,0.42
education,1998.0,Fund for America's Libraries,60000.0,0.41
education,1998.0,Kalamazoo Public Library,55900.0,0.38
education,1998.0,Morehouse Parish Library,53518.0,0.37
education,1998.0,St. Charles Parish Library,52322.0,0.36
education,1998.0,Peoria Public Library,52100.0,0.36
education,1998.0,St. Martin Parish Library,50537.0,0.35
education,1998.0,Brownsville Public Library,50300.0,0.35
education,1998.0,Jefferson Davis Parish Library,50097.0,0.34
equality,1998.0,"University of Kansas Center for Research, Inc.",50000.0,2.81
education,1998.0,Gary Public Library,48900.0,0.34
education,1998.0,Winn Parish Library,47267.0,0.32
education,1998.0,Audubon Regional Library,45300.0,0.31
education,1998.0,Plaquemines Parish Library,43764.0,0.3
education,1998.0,St. John The Baptist Parish Library,43000.0,0.3
education,1998.0,Donna Public Library,41800.0,0.29
education,1998.0,Desoto Parish Library,39277.0,0.27
education,1998.0,Val Verde County Library,38900.0,0.27
education,1998.0,St. Bernard Parish Library,38435.0,0.26
education,1998.0,Cumberland County Public Library,36300.0,0.25
education,1998.0,Opelousas-Eunice Public Lbraries,36103.0,0.25
education,1998.0,Vernon Parish Library,35169.0,0.24
education,1998.0,Allen Parish Library,35116.0,0.24
education,1998.0,Cleveland Public Library,35000.0,0.24
education,1998.0,Edinburg Public Library,35000.0,0.24
education,1998.0,Toledo-Lucas County Public Library,33700.0,0.23
education,1998.0,Navajo Nation Library System,32896.0,0.23
education,1998.0,Carbondale Public Library,30600.0,0.21
education,1998.0,Catahoula Parish Library,30531.0,0.21
education,1998.0,Middle Georgia Regional Library,29800.0,0.2
education,1998.0,Camden Free Public Library,29300.0,0.2
education,1998.0,Ethel L. Whipple Memorial Library,29100.0,0.2
education,1998.0,Kansas City Public Library,28100.0,0.19
education,1998.0,Phoenix Public Library,28000.0,0.19
education,1998.0,Assumption Parish Library,27121.0,0.19
education,1998.0,Iowa City Public Library,27100.0,0.19
education,1998.0,Menominee Tribal County Library,26500.0,0.18
education,1998.0,Mercedes Memorial Library,25700.0,0.18
education,1998.0,St. James Parish Library,25659.0,0.18
education,1998.0,Richland Parish Library,24459.0,0.17
education,1998.0,Concordia Parish Library,24411.0,0.17
education,1998.0,Davenport Public Library,24300.0,0.17
education,1998.0,Claiborne Parish Library,23916.0,0.16
education,1998.0,Franklin Parish Library,23501.0,0.16
education,1998.0,Newport News Public Library System,23255.0,0.16
education,1998.0,Elsa Public Library,22500.0,0.15
education,1998.0,Kern County Library,22100.0,0.15
education,1998.0,Tucson-Pima Public Library,21000.0,0.14
education,1998.0,Page Public Library,19900.0,0.14
education,1998.0,Palm Beach County Library System,19900.0,0.14
education,1998.0,University of Southern Mississippi,19804.0,0.14
education,1998.0,Kemp Public Library,19300.0,0.13
education,1998.0,Lincoln Parish Library,18474.0,0.13
education,1998.0,LaConner Regional Library,18210.0,0.13
education,1998.0,Big Rapids Community Library,18200.0,0.13
education,1998.0,Douglas Public Library,18000.0,0.12
education,1998.0,Lasalle Parish Library,17304.0,0.12
education,1998.0,South St. Landry Community Library,16763.0,0.12
education,1998.0,Jackson Parish Library,16694.0,0.11
education,1998.0,Jennings Carnegie Public Library,16625.0,0.11
education,1998.0,Morgan City Public Library,16625.0,0.11
education,1998.0,Natchitoches Parish Library,16625.0,0.11
education,1998.0,Union Parish Library,16625.0,0.11
education,1998.0,Madison Parish Library,16437.0,0.11
education,1998.0,West Baton Rouge Parish Library,16437.0,0.11
education,1998.0,Friends of Libraries U.S.A.,15000.0,0.1
education,1998.0,Bienville Parish Library,14839.0,0.1
education,1998.0,Tensas Parish Library,12877.0,0.09
education,1998.0,Central Library,9400.0,0.06
education,1998.0,University of Alabama,9291.0,0.06
education,1998.0,Caldwell Parish Library,8250.0,0.06
education,1998.0,East Carroll Parish Library,8030.0,0.06
education,1998.0,Red River Parish Library,8030.0,0.06
education,1998.0,West Carroll Parish Library,7842.0,0.05
education,1998.0,Lake Andes Carnegie Public Library,7200.0,0.05
education,1998.0,Dakota Club Public Library,6100.0,0.04
education,1998.0,Denver Public Library,5855.0,0.04
education,1998.0,Cameron Parish Library,5649.0,0.04
education,1998.0,Dewey County Library,5100.0,0.04
education,1998.0,Jefferson County Library System,4600.0,0.03
education,1998.0,Apache County Library District,4200.0,0.03
health,1999.0,The GAVI Campaign,750000000.0,64.07
health,1999.0,PATH,60345000.0,5.16
health,1999.0,Columbia University,56187078.0,4.8
health,1999.0,United Nations Foundation,51250000.0,4.38
health,1999.0,International Vaccine Institute,37261201.0,3.18
health,1999.0,United States Fund for UNICEF,26000000.0,2.22
health,1999.0,Aeras,25000000.0,2.14
health,1999.0,International AIDS Vaccine Initiative Inc,25000000.0,2.14
health,1999.0,Johns Hopkins University,23982000.0,2.05
health,1999.0,National Institute of Child Health and Human Development,15000000.0,1.28
health,1999.0,World Health Organization,13952458.0,1.19
others,1999.0,Cascade Public Media,9985021.0,64.17
equality,1999.0,"Ontario Ministry of Citizenship, Culture and Recreation",5828553.0,24.03
health,1999.0,University of Notre Dame,5211800.0,0.45
equality,1999.0,Centre for Development and Population Activities,5000000.0,20.61
equality,1999.0,Population Services International,5000000.0,20.61
health,1999.0,Helen Keller International,5000000.0,0.43
health,1999.0,New York Blood Center,5000000.0,0.43
health,1999.0,Planned Parenthood Federation of America,5000000.0,0.43
health,1999.0,Seattle Biomedical Research Institute,5000000.0,0.43
health,1999.0,University of Michigan,5000000.0,0.43
health,1999.0,"DKT International, Inc.",4302367.0,0.37
health,1999.0,"Population Council, Inc.",4000000.0,0.34
health,1999.0,World Neighbors,4000000.0,0.34
health,1999.0,"EngenderHealth, Inc.",3983000.0,0.34
equality,1999.0,Landesa Rural Development Institute,3825000.0,15.77
health,1999.0,Pan American Health and Education Foundation,3291600.0,0.28
health,1999.0,Public Health Institute,2998669.0,0.26
health,1999.0,WACAP,2900000.0,0.25
education,1999.0,"International Planned Parenthood Worldwide, Inc.",2845267.0,52.49
growth,1999.0,Gifts In Kind International,2750000.0,10.8
health,1999.0,Management Sciences for Health,2740000.0,0.23
growth,1999.0,MexFam,2500000.0,9.82
health,1999.0,The Grant Foundation,2500000.0,0.21
education,1999.0,University of Washington Foundation,2330000.0,42.98
health,1999.0,"Institute for Health Policy Analysis, Inc.",2100000.0,0.18
health,1999.0,"China Foundation, Inc.",2000000.0,0.17
health,1999.0,"Guttmacher Institute, Inc.",2000000.0,0.17
health,1999.0,International Rescue Committee,2000000.0,0.17
health,1999.0,Africare,1996750.0,0.17
health,1999.0,"Vital Strategies, Inc.",1930000.0,0.16
growth,1999.0,Population Communications International,1800000.0,7.07
health,1999.0,SUSTAIN,1793000.0,0.15
equality,1999.0,British Columbia Municipal Affairs Library Services Branch,1791080.0,7.38
others,1999.0,Family Planning Association of India,1629282.0,10.47
health,1999.0,"Help the Afghan Children, Inc.",1600000.0,0.14
health,1999.0,Pathfinder International,1460000.0,0.12
health,1999.0,"RFSU, Swedish Association for Sex Education",1292000.0,0.11
health,1999.0,"University of California, Santa Barbara",1021304.0,0.09
health,1999.0,Pacific Institute for Women's Health,1008000.0,0.09
health,1999.0,Worldwide Documentaries,1000000.0,0.09
others,1999.0,Communications Consortium Media Center,858000.0,5.51
equality,1999.0,"Manitoba Dept. of Culture, Heritage and Citizenship",769843.0,3.17
equality,1999.0,Newfoundland Provincial Information and Library Resources Board,766571.0,3.16
health,1999.0,G-CAPP,750000.0,0.06
health,1999.0,International Medical Corps,720000.0,0.06
health,1999.0,World Population Foundation,690000.0,0.06
health,1999.0,"University of California, Berkeley (DNU)",645000.0,0.06
others,1999.0,United States Association for the United Nations High Commission for Refugees,617550.0,3.97
equality,1999.0,Nova Scotia Provincial Library,594868.0,2.45
health,1999.0,Planned Parenthood Federation of Canada,569000.0,0.05
equality,1999.0,New Brunswick Library Service,507743.0,2.09
growth,1999.0,Public Media Center,500000.0,1.96
others,1999.0,American Red Cross,500000.0,3.21
others,1999.0,CARE,500000.0,3.21
others,1999.0,International Rescue Committee,500000.0,3.21
growth,1999.0,Miami-Dade Public Library System,466984.0,1.83
health,1999.0,Population Concern,462000.0,0.04
growth,1999.0,Broward County Division of Libraries,339702.0,1.33
growth,1999.0,Albuquerque-Bernalillo County Library System,325420.0,1.28
health,1999.0,"JSI Research & Training Institute, Inc.",322000.0,0.03
health,1999.0,Americans for UNFPA,300000.0,0.03
others,1999.0,East-West Center,280000.0,1.8
growth,1999.0,Central Mississippi Regional Library,225119.0,0.88
others,1999.0,"University of Kansas Center for Research, Inc.",225000.0,1.45
growth,1999.0,Tulsa City-County Library System,203635.0,0.8
growth,1999.0,First Regional Library,203042.0,0.8
growth,1999.0,Marion County Public Library,202423.0,0.8
growth,1999.0,Jackson/Hinds Library System,191467.0,0.75
growth,1999.0,Charleston County Library,189506.0,0.74
growth,1999.0,Southwest Arkansas Regional Library,179303.0,0.7
equality,1999.0,Prince Edward Island Library Service,176365.0,0.73
growth,1999.0,Mid-Mississippi Regional Library,175781.0,0.69
growth,1999.0,Louisville Free Public Library,175677.0,0.69
growth,1999.0,Eastern Oklahoma District Library System,175472.0,0.69
growth,1999.0,Jacksonville Public Library,174052.0,0.68
growth,1999.0,Metropolitan Library System,170993.0,0.67
growth,1999.0,Aiken-Bamberg-Barnwell-Edgefield Regional Library,165989.0,0.65
growth,1999.0,Central Arkansas Library System,153673.0,0.6
growth,1999.0,McAlester Public Library,153471.0,0.6
others,1999.0,Captive Daughters,150000.0,0.96
growth,1999.0,Pioneer Library System,146806.0,0.58
growth,1999.0,Orange County Library District,145272.0,0.57
growth,1999.0,Kanawha County Public Library,142660.0,0.56
growth,1999.0,Brevard County Library System,134109.0,0.53
growth,1999.0,Harrison County Library System,132007.0,0.52
growth,1999.0,Volusia County Public Library,131959.0,0.52
growth,1999.0,Cabell County Public Library,131060.0,0.51
growth,1999.0,Spartanburg County Public Library,127385.0,0.5
growth,1999.0,Bay County Library,124077.0,0.49
growth,1999.0,Anderson County Library,119161.0,0.47
growth,1999.0,Lexington Public Library,115149.0,0.45
growth,1999.0,Jackson-George Regional Library System,114661.0,0.45
growth,1999.0,Mississippi\Crittenden County Reg. Library,114117.0,0.45
growth,1999.0,Greenville County Library System,109857.0,0.43
growth,1999.0,Alachua County Library District,108251.0,0.43
growth,1999.0,Manatee County Public Library System,107183.0,0.42
growth,1999.0,Northeast Regional Library,105247.0,0.41
growth,1999.0,Washington County Library System,104258.0,0.41
growth,1999.0,Richland County Public Library,101081.0,0.4
others,1999.0,Population Communications International,100000.0,0.64
growth,1999.0,West Florida Regional Library,99592.0,0.39
growth,1999.0,Fayette County Public Library,96303.0,0.38
growth,1999.0,White River Regional Library,95044.0,0.37
growth,1999.0,Horry County Memorial Library,92885.0,0.36
growth,1999.0,York County Library,90874.0,0.36
growth,1999.0,Pickens County Library System,86776.0,0.34
growth,1999.0,Southeast Arkansas Regional Library,85877.0,0.34
growth,1999.0,Sumter County Library,84547.0,0.33
growth,1999.0,Bolivar County Library,83353.0,0.33
growth,1999.0,Tombigbee Regional Library,83254.0,0.33
growth,1999.0,Abbeville-Greenwood Regional Library,82460.0,0.32
growth,1999.0,Berkeley County Library,82098.0,0.32
growth,1999.0,Pontotoc County Library,80833.0,0.32
growth,1999.0,Arkansas River Valley Regional Library,80562.0,0.32
growth,1999.0,McComb Public Library,79677.0,0.31
growth,1999.0,Lee County Library System,78875.0,0.31
growth,1999.0,Citrus County Library System,78815.0,0.31
growth,1999.0,CLOC Regional Library,78663.0,0.31
growth,1999.0,Palm Beach County Library System,77620.0,0.3
growth,1999.0,Mason County Public Library,75345.0,0.3
growth,1999.0,Osceola County Library System,75138.0,0.3
growth,1999.0,John F. Kennedy Library,73118.0,0.29
growth,1999.0,Faulkner-Van Buren Regional Library,72283.0,0.28
growth,1999.0,Hernando County Public Library System,68401.0,0.27
growth,1999.0,Pike County Public Library District,67905.0,0.27
growth,1999.0,Martin County Public Library,67525.0,0.27
growth,1999.0,Farmington Public Library,67227.0,0.26
growth,1999.0,Hudson Regional Library,66457.0,0.26
growth,1999.0,Craighead County/Jonesboro Public Library (Crowley Ridge),66174.0,0.26
growth,1999.0,Richton Public Library,65830.0,0.26
growth,1999.0,Raleigh County Public Library,64926.0,0.26
growth,1999.0,North Arkansas Regional Library,64573.0,0.25
growth,1999.0,Suwannee River Regional Library System,63158.0,0.25
growth,1999.0,"The Library of Hattiesburg, Petal & Forrest County",62476.0,0.25
growth,1999.0,Leon County Public Library System,61995.0,0.24
growth,1999.0,Beaufort County Library,59036.0,0.23
growth,1999.0,Chickasaw Regional Library System,58825.0,0.23
growth,1999.0,Collier County Public Library,58581.0,0.23
growth,1999.0,George W. Covington Memorial Library,57393.0,0.23
growth,1999.0,Putnam County Public Library,56985.0,0.22
growth,1999.0,Northeast Arkansas Regional Library,56963.0,0.22
growth,1999.0,St. Johns County Public Library,56903.0,0.22
growth,1999.0,Morgantown Public Library,55746.0,0.22
growth,1999.0,Boone County Public Library,55715.0,0.22
growth,1999.0,Wayne County Public Library,53090.0,0.21
growth,1999.0,Florence County Library,52034.0,0.2
growth,1999.0,Marjorie W. Mc Crary Public Library,51967.0,0.2
growth,1999.0,McDowell County Public Library,51096.0,0.2
growth,1999.0,Quitman Public Library,50511.0,0.2
growth,1999.0,Greenup County Public Library,50397.0,0.2
growth,1999.0,Orangeburg County Library,50385.0,0.2
others,1999.0,Americans for UNFPA,50000.0,0.32
others,1999.0,Centre for Development and Population Activities,50000.0,0.32
others,1999.0,The Filmmakers Collaborative,50000.0,0.32
growth,1999.0,Martinsburg-Berkeley Cnty Public Library,49695.0,0.2
growth,1999.0,Union County Library,49380.0,0.19
growth,1999.0,Oconee County Library,49316.0,0.19
growth,1999.0,Madison County Library System,48805.0,0.19
growth,1999.0,Boone-Madison Public Library,48771.0,0.19
